invoice_number,client,ruc,description,issue_date,due_date,amount,vat,total,paid
E001-236,Ovosur,20344506842,Servicio de Fotografía en Planta,2025-08-22 00:00:00+00,2025-09-06 00:00:00+00,1500,18,1770,0
E001-237,Fuso,20430500521,Capacitación Cibertec Agosto,2025-08-25 00:00:00+00,2025-09-25 00:00:00+00,750,18,885,0
E001-238,Carbono,20603329075,Registros y Ediciones Agosto,2025-08-27 00:00:00+00,2025-08-31 00:00:00+00,4000,18,4720,0
E001-239,Fuso,20430500521,Edición de video hitos Fuso,2025-09-08 00:00:00+00,2025-10-08 00:00:00+00,400,18,472,472
E001-240,Fuso,20430500521,Edicion Experiencia Huancayo,2025-09-12 00:00:00+00,2025-10-12 00:00:00+00,400,18,472,472
E001-241,Fuso,20430500521,Edición Ajustes Material,2025-09-17 00:00:00+00,2025-10-17 00:00:00+00,400,18,472,472
E001-242,Fuso,20430500521,Edición Ruta MF100 Cusco,2025-09-26 00:00:00+00,2025-10-26 00:00:00+00,400,18,472,472
E001-243,Carbono,20603329075,Registros y Ediciones Setiembre,2025-09-29 00:00:00+00,2025-09-30 00:00:00+00,6000,18,7080,0
E001-244,Fuso,20430500521,Capacitación Cibertec Setiembre,2025-10-02 00:00:00+00,2025-11-02 00:00:00+00,750,18,885,750
E001-245,Ingenia,20518125061,Producción y Realización Brother,2025-10-09 00:00:00+00,2025-10-17 00:00:00+00,5488,18,6475.84,6475.84
E001-246,Fuso,20430500521,Edición Friaje Octubre,2025-10-11 00:00:00+00,2025-11-11 00:00:00+00,400,18,472,0
E001-247,Fuso,20430500521,Activación Fuso Oncosalud,2025-10-17 00:00:00+00,2025-11-17 00:00:00+00,750,18,885,0
E001-248,Mitsubishi,20430500521,Wine y yoga,2025-10-20 00:00:00+00,2025-11-20 00:00:00+00,750,18,885,0
E001-249,Fuso,20430500521,Lanzamiento Wias,2025-10-24 00:00:00+00,2025-11-24 00:00:00+00,750,18,885,0
E001-250,Fuso,20430500521,Registro Huacho y Edicion,2025-10-28 00:00:00+00,2025-11-28 00:00:00+00,1350,18,1593,0
E001-251,Carbono,20603329075,Registros y Ediciones Octubre,2025-10-29 00:00:00+00,2025-10-31 00:00:00+00,4000,18,4720,4720
E001-252,Fuso,20430500521,Edición Experiencia Otuzco,2025-11-04 00:00:00+00,2025-11-14 00:00:00+00,400,18,472,0
E001-253,Fuso,20430500521,Edicion Experiencia Shiran,2025-11-04 00:00:00+00,2025-11-14 00:00:00+00,400,18,472,0
E001-254,CODIP,20552213832,Regsitro de video CADE,2025-11-01 00:00:00+00,1970-01-01 00:00:00+00,1000,18,1180,0
E001-255,G Y Service,20554982370,Regsitro competencia Astara,2025-11-02 00:00:00+00,1970-01-01 00:00:00+00,1800,18,2124,0
E001-256,,,,2025-11-03 00:00:00+00,1970-01-01 00:00:00+00,0,18,0,0
